Timestamp,Source_Sat,Destination_Network,Next_Hop_IP
103000,STARLINK-2159,192.168.4.40/30,192.168.26.85
103000,STARLINK-2159,192.168.19.68/30,192.168.26.85
103000,STARLINK-2159,192.168.10.220/30,192.168.26.85
103000,STARLINK-2159,192.168.28.12/30,192.168.26.85
103000,STARLINK-2159,192.168.27.188/30,192.168.26.85
103000,STARLINK-2159,192.168.1.12/30,192.168.26.85
103000,STARLINK-2159,192.168.1.8/30,192.168.26.85
103000,STARLINK-2159,192.168.28.172/30,192.168.26.85
103000,STARLINK-2159,192.168.11.116/30,192.168.26.85
103000,STARLINK-2159,192.168.11.112/30,192.168.26.85
103000,STARLINK-2159,192.168.11.120/30,192.168.26.85
103000,STARLINK-2159,192.168.26.144/30,192.168.26.85
103000,STARLINK-2159,192.168.26.88/30,192.168.26.85
103000,STARLINK-1511,192.168.26.84/30,192.168.11.121
103000,STARLINK-1511,192.168.26.88/30,192.168.11.121
103000,STARLINK-1511,192.168.26.144/30,192.168.11.121
103000,STARLINK-1511,192.168.30.52/30,192.168.11.113
103000,STARLINK-1511,192.168.4.40/30,192.168.11.113
103000,STARLINK-1511,192.168.19.68/30,192.168.11.113
103000,STARLINK-1511,192.168.10.220/30,192.168.11.113
103000,STARLINK-1511,192.168.28.12/30,192.168.11.113
103000,STARLINK-1511,192.168.27.188/30,192.168.11.113
103000,STARLINK-1511,192.168.1.12/30,192.168.11.113
103000,STARLINK-1511,192.168.1.8/30,192.168.11.113
103000,STARLINK-1511,192.168.28.172/30,192.168.11.113
103000,STARLINK-1511,192.168.11.116/30,192.168.11.113
103000,STARLINK-1054,192.168.26.84/30,192.168.1.10
103000,STARLINK-1054,192.168.26.88/30,192.168.1.10
103000,STARLINK-1054,192.168.26.144/30,192.168.1.10
103000,STARLINK-1054,192.168.11.120/30,192.168.1.10
103000,STARLINK-1054,192.168.11.112/30,192.168.1.10
103000,STARLINK-1054,192.168.11.116/30,192.168.1.10
103000,STARLINK-1054,192.168.28.172/30,192.168.1.10
103000,STARLINK-1054,192.168.30.52/30,192.168.1.14
103000,STARLINK-1054,192.168.4.40/30,192.168.1.14
103000,STARLINK-1054,192.168.19.68/30,192.168.1.14
103000,STARLINK-1054,192.168.10.220/30,192.168.1.14
103000,STARLINK-1054,192.168.28.12/30,192.168.1.14
103000,STARLINK-1054,192.168.27.188/30,192.168.1.14
103000,STARLINK-1471,192.168.26.84/30,192.168.28.13
103000,STARLINK-1471,192.168.26.88/30,192.168.28.13
103000,STARLINK-1471,192.168.26.144/30,192.168.28.13
103000,STARLINK-1471,192.168.11.120/30,192.168.28.13
103000,STARLINK-1471,192.168.11.112/30,192.168.28.13
103000,STARLINK-1471,192.168.11.116/30,192.168.28.13
103000,STARLINK-1471,192.168.28.172/30,192.168.28.13
103000,STARLINK-1471,192.168.1.8/30,192.168.28.13
103000,STARLINK-1471,192.168.1.12/30,192.168.28.13
103000,STARLINK-1471,192.168.27.188/30,192.168.28.13
103000,STARLINK-1471,192.168.30.52/30,192.168.10.222
103000,STARLINK-1471,192.168.4.40/30,192.168.10.222
103000,STARLINK-1471,192.168.19.68/30,192.168.10.222
103000,STARLINK-1791,192.168.26.84/30,192.168.30.53
103000,STARLINK-1791,192.168.26.88/30,192.168.30.53
103000,STARLINK-1791,192.168.26.144/30,192.168.30.53
103000,STARLINK-1791,192.168.11.120/30,192.168.30.53
103000,STARLINK-1791,192.168.11.112/30,192.168.30.53
103000,STARLINK-1791,192.168.11.116/30,192.168.30.53
103000,STARLINK-1791,192.168.28.172/30,192.168.30.53
103000,STARLINK-1791,192.168.1.8/30,192.168.30.53
103000,STARLINK-1791,192.168.1.12/30,192.168.30.53
103000,STARLINK-1791,192.168.27.188/30,192.168.30.53
103000,STARLINK-1791,192.168.28.12/30,192.168.30.53
103000,STARLINK-1791,192.168.10.220/30,192.168.30.53
103000,STARLINK-1791,192.168.19.68/30,192.168.30.53
103000,STARLINK-1791,192.168.4.40/30,192.168.30.53
103000,STARLINK-2431,192.168.26.84/30,192.168.11.117
103000,STARLINK-2431,192.168.26.88/30,192.168.11.117
103000,STARLINK-2431,192.168.26.144/30,192.168.11.117
103000,STARLINK-2431,192.168.11.120/30,192.168.11.117
103000,STARLINK-2431,192.168.11.112/30,192.168.11.117
103000,STARLINK-2431,192.168.30.52/30,192.168.28.174
103000,STARLINK-2431,192.168.4.40/30,192.168.28.174
103000,STARLINK-2431,192.168.19.68/30,192.168.28.174
103000,STARLINK-2431,192.168.10.220/30,192.168.28.174
103000,STARLINK-2431,192.168.28.12/30,192.168.28.174
103000,STARLINK-2431,192.168.27.188/30,192.168.28.174
103000,STARLINK-2431,192.168.1.12/30,192.168.28.174
103000,STARLINK-2431,192.168.1.8/30,192.168.28.174
103000,STARLINK-1062,192.168.26.84/30,192.168.28.173
103000,STARLINK-1062,192.168.26.88/30,192.168.28.173
103000,STARLINK-1062,192.168.26.144/30,192.168.28.173
103000,STARLINK-1062,192.168.11.120/30,192.168.28.173
103000,STARLINK-1062,192.168.11.112/30,192.168.28.173
103000,STARLINK-1062,192.168.11.116/30,192.168.28.173
103000,STARLINK-1062,192.168.30.52/30,192.168.1.9
103000,STARLINK-1062,192.168.4.40/30,192.168.1.9
103000,STARLINK-1062,192.168.19.68/30,192.168.1.9
103000,STARLINK-1062,192.168.10.220/30,192.168.1.9
103000,STARLINK-1062,192.168.28.12/30,192.168.1.9
103000,STARLINK-1062,192.168.27.188/30,192.168.1.9
103000,STARLINK-1062,192.168.1.12/30,192.168.1.9
103000,STARLINK-2380,192.168.26.84/30,192.168.1.13
103000,STARLINK-2380,192.168.26.88/30,192.168.1.13
103000,STARLINK-2380,192.168.26.144/30,192.168.1.13
103000,STARLINK-2380,192.168.11.120/30,192.168.1.13
103000,STARLINK-2380,192.168.11.112/30,192.168.1.13
103000,STARLINK-2380,192.168.11.116/30,192.168.1.13
103000,STARLINK-2380,192.168.28.172/30,192.168.1.13
103000,STARLINK-2380,192.168.1.8/30,192.168.1.13
103000,STARLINK-2380,192.168.30.52/30,192.168.27.190
103000,STARLINK-2380,192.168.4.40/30,192.168.27.190
103000,STARLINK-2380,192.168.19.68/30,192.168.27.190
103000,STARLINK-2380,192.168.10.220/30,192.168.27.190
103000,STARLINK-2380,192.168.28.12/30,192.168.27.190
103013,STARLINK-1152,192.168.26.84/30,192.168.19.69
103013,STARLINK-1152,192.168.26.88/30,192.168.19.69
103013,STARLINK-1152,192.168.26.144/30,192.168.19.69
103013,STARLINK-1152,192.168.11.120/30,192.168.19.69
103013,STARLINK-1152,192.168.11.112/30,192.168.19.69
103013,STARLINK-1152,192.168.11.116/30,192.168.19.69
103013,STARLINK-1152,192.168.28.172/30,192.168.19.69
103013,STARLINK-1152,192.168.1.8/30,192.168.19.69
103013,STARLINK-1152,192.168.1.12/30,192.168.19.69
103013,STARLINK-1152,192.168.27.188/30,192.168.19.69
103013,STARLINK-1152,192.168.28.12/30,192.168.19.69
103013,STARLINK-1152,192.168.10.220/30,192.168.19.69
103013,STARLINK-1152,192.168.30.52/30,192.168.4.42
103013,STARLINK-2160,192.168.26.84/30,192.168.26.89
103013,STARLINK-2160,192.168.30.52/30,192.168.26.146
103013,STARLINK-2160,192.168.4.40/30,192.168.26.146
103013,STARLINK-2160,192.168.19.68/30,192.168.26.146
103013,STARLINK-2160,192.168.10.220/30,192.168.26.146
103013,STARLINK-2160,192.168.28.12/30,192.168.26.146
103013,STARLINK-2160,192.168.27.188/30,192.168.26.146
103013,STARLINK-2160,192.168.1.12/30,192.168.26.146
103013,STARLINK-2160,192.168.1.8/30,192.168.26.146
103013,STARLINK-2160,192.168.28.172/30,192.168.26.146
103013,STARLINK-2160,192.168.11.116/30,192.168.26.146
103013,STARLINK-2160,192.168.11.112/30,192.168.26.146
103013,STARLINK-2160,192.168.11.120/30,192.168.26.146
103013,STARLINK-2394,192.168.26.84/30,192.168.27.189
103013,STARLINK-2394,192.168.26.88/30,192.168.27.189
103013,STARLINK-2394,192.168.26.144/30,192.168.27.189
103013,STARLINK-2394,192.168.11.120/30,192.168.27.189
103013,STARLINK-2394,192.168.11.112/30,192.168.27.189
103013,STARLINK-2394,192.168.11.116/30,192.168.27.189
103013,STARLINK-2394,192.168.28.172/30,192.168.27.189
103013,STARLINK-2394,192.168.1.8/30,192.168.27.189
103013,STARLINK-2394,192.168.1.12/30,192.168.27.189
103013,STARLINK-2394,192.168.30.52/30,192.168.28.14
103013,STARLINK-2394,192.168.4.40/30,192.168.28.14
103013,STARLINK-2394,192.168.19.68/30,192.168.28.14
103013,STARLINK-2394,192.168.10.220/30,192.168.28.14
103013,STARLINK-1484,192.168.26.84/30,192.168.26.145
103013,STARLINK-1484,192.168.26.88/30,192.168.26.145
103013,STARLINK-1484,192.168.30.52/30,192.168.11.122
103013,STARLINK-1484,192.168.4.40/30,192.168.11.122
103013,STARLINK-1484,192.168.19.68/30,192.168.11.122
103013,STARLINK-1484,192.168.10.220/30,192.168.11.122
103013,STARLINK-1484,192.168.28.12/30,192.168.11.122
103013,STARLINK-1484,192.168.27.188/30,192.168.11.122
103013,STARLINK-1484,192.168.1.12/30,192.168.11.122
103013,STARLINK-1484,192.168.1.8/30,192.168.11.122
103013,STARLINK-1484,192.168.28.172/30,192.168.11.122
103013,STARLINK-1484,192.168.11.116/30,192.168.11.122
103013,STARLINK-1484,192.168.11.112/30,192.168.11.122
103013,STARLINK-2144,192.168.30.52/30,192.168.26.90
103013,STARLINK-2144,192.168.4.40/30,192.168.26.90
103013,STARLINK-2144,192.168.19.68/30,192.168.26.90
103013,STARLINK-2144,192.168.10.220/30,192.168.26.90
103013,STARLINK-2144,192.168.28.12/30,192.168.26.90
103013,STARLINK-2144,192.168.27.188/30,192.168.26.90
103013,STARLINK-2144,192.168.1.12/30,192.168.26.90
103013,STARLINK-2144,192.168.1.8/30,192.168.26.90
103013,STARLINK-2144,192.168.28.172/30,192.168.26.90
103013,STARLINK-2144,192.168.11.116/30,192.168.26.90
103013,STARLINK-2144,192.168.11.112/30,192.168.26.90
103013,STARLINK-2144,192.168.11.120/30,192.168.26.90
103013,STARLINK-2144,192.168.26.144/30,192.168.26.90
103013,STARLINK-1816,192.168.26.84/30,192.168.10.221
103013,STARLINK-1816,192.168.26.88/30,192.168.10.221
103013,STARLINK-1816,192.168.26.144/30,192.168.10.221
103013,STARLINK-1816,192.168.11.120/30,192.168.10.221
103013,STARLINK-1816,192.168.11.112/30,192.168.10.221
103013,STARLINK-1816,192.168.11.116/30,192.168.10.221
103013,STARLINK-1816,192.168.28.172/30,192.168.10.221
103013,STARLINK-1816,192.168.1.8/30,192.168.10.221
103013,STARLINK-1816,192.168.1.12/30,192.168.10.221
103013,STARLINK-1816,192.168.27.188/30,192.168.10.221
103013,STARLINK-1816,192.168.28.12/30,192.168.10.221
103013,STARLINK-1816,192.168.30.52/30,192.168.19.70
103013,STARLINK-1816,192.168.4.40/30,192.168.19.70
103013,STARLINK-2312,192.168.26.84/30,192.168.4.41
103013,STARLINK-2312,192.168.26.88/30,192.168.4.41
103013,STARLINK-2312,192.168.26.144/30,192.168.4.41
103013,STARLINK-2312,192.168.11.120/30,192.168.4.41
103013,STARLINK-2312,192.168.11.112/30,192.168.4.41
103013,STARLINK-2312,192.168.11.116/30,192.168.4.41
103013,STARLINK-2312,192.168.28.172/30,192.168.4.41
103013,STARLINK-2312,192.168.1.8/30,192.168.4.41
103013,STARLINK-2312,192.168.1.12/30,192.168.4.41
103013,STARLINK-2312,192.168.27.188/30,192.168.4.41
103013,STARLINK-2312,192.168.28.12/30,192.168.4.41
103013,STARLINK-2312,192.168.10.220/30,192.168.4.41
103013,STARLINK-2312,192.168.19.68/30,192.168.4.41
103013,STARLINK-1478,192.168.26.84/30,192.168.11.114
103013,STARLINK-1478,192.168.26.88/30,192.168.11.114
